epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,638.044,0.7255,0.55387,0.95864,0.98594,0.97087,0.98893,0.84492,0.60735,0.42618,0.88608,0.000515,0.000515,0.000515
77,646.093,0.79029,0.57749,0.97067,0.99013,0.97419,0.99255,0.84501,0.60858,0.4247,0.88813,0.0004952,0.0004952,0.0004952
78,654.623,0.77676,0.55698,0.97141,0.98313,0.97735,0.99199,0.84571,0.59888,0.42064,0.88862,0.0004754,0.0004754,0.0004754
79,662.369,0.79196,0.60645,1.01173,0.99148,0.97735,0.99105,0.84875,0.59223,0.41495,0.8825,0.0004556,0.0004556,0.0004556
80,671.645,0.77788,0.56561,0.96624,0.98855,0.97411,0.9941,0.82855,0.66383,0.42739,0.91541,0.0004358,0.0004358,0.0004358
81,678.931,0.7132,0.52866,0.94381,0.99671,0.98039,0.99471,0.85443,0.59987,0.39436,0.89265,0.000416,0.000416,0.000416
82,688.291,0.71351,0.54237,0.94358,0.9999,0.98382,0.99487,0.85477,0.58549,0.38655,0.88132,0.0003962,0.0003962,0.0003962
83,695.389,0.73116,0.53557,0.94927,0.99672,0.98355,0.99442,0.85707,0.59076,0.3946,0.88318,0.0003764,0.0003764,0.0003764
84,704.831,0.69715,0.51868,0.9343,0.99022,0.98349,0.99458,0.86016,0.59316,0.39445,0.88433,0.0003566,0.0003566,0.0003566
85,712.077,0.74096,0.51902,0.95352,0.98882,0.98706,0.99436,0.85115,0.59878,0.39891,0.88459,0.0003368,0.0003368,0.0003368
86,721.403,0.71447,0.51652,0.92298,0.9951,0.98382,0.99481,0.86197,0.58074,0.38861,0.87803,0.000317,0.000317,0.000317
87,728.603,0.69103,0.50111,0.93831,1,0.98908,0.995,0.8653,0.57069,0.3712,0.87249,0.0002972,0.0002972,0.0002972
88,738.279,0.66571,0.50815,0.931,0.99598,0.98706,0.99484,0.86213,0.56706,0.37406,0.86877,0.0002774,0.0002774,0.0002774
89,745.57,0.68046,0.49079,0.92396,0.99741,0.97735,0.99471,0.86803,0.55228,0.36538,0.86694,0.0002576,0.0002576,0.0002576
